id_site,code_module,code_presentation,activity_type,week_from,week_to,node_idx
546645,AAA,2013J,forumng,,,70
546899,AAA,2013J,url,,,71
546680,AAA,2013J,oucontent,,,72
546942,AAA,2013J,resource,,,73
546711,AAA,2013J,oucontent,,,74
546997,AAA,2013J,resource,,,75
546887,AAA,2013J,url,,,76
547034,AAA,2013J,resource,,,77
546896,AAA,2013J,url,,,78
546677,AAA,2013J,oucontent,,,79
546930,AAA,2013J,resource,,,80
546707,AAA,2013J,oucontent,,,81
546994,AAA,2013J,resource,,,82
546883,AAA,2013J,url,,,83
547030,AAA,2013J,resource,,,84
546890,AAA,2013J,url,,,85
546674,AAA,2013J,oucontent,,,86
546925,AAA,2013J,resource,,,87
546704,AAA,2013J,oucontent,,,88
546990,AAA,2013J,resource,,,89
546874,AAA,2013J,subpage,,,90
547026,AAA,2013J,resource,,,91
546670,AAA,2013J,oucontent,,,92
546922,AAA,2013J,resource,,,93
546701,AAA,2013J,oucontent,,,94
546987,AAA,2013J,resource,,,95
546871,AAA,2013J,subpage,,,96
547023,AAA,2013J,resource,,,97
546667,AAA,2013J,oucontent,,,98
546919,AAA,2013J,resource,,,99
546697,AAA,2013J,oucontent,,,100
546984,AAA,2013J,resource,,,101
546738,AAA,2013J,oucontent,,,102
547020,AAA,2013J,resource,,,103
546664,AAA,2013J,oucontent,,,104
546694,AAA,2013J,oucontent,,,105
546975,AAA,2013J,resource,,,106
546735,AAA,2013J,oucontent,,,107
547017,AAA,2013J,resource,,,108
546660,AAA,2013J,glossary,,,109
546916,AAA,2013J,resource,,,110
546691,AAA,2013J,oucontent,,,111
546971,AAA,2013J,resource,,,112
546732,AAA,2013J,oucontent,2.0,2.0,113
547013,AAA,2013J,resource,,,114
546657,AAA,2013J,forumng,,,115
546913,AAA,2013J,resource,,,116
546688,AAA,2013J,oucontent,,,117
546966,AAA,2013J,resource,,,118
546726,AAA,2013J,oucontent,,,119
547009,AAA,2013J,resource,,,120
547050,AAA,2013J,dataplus,,,121
546654,AAA,2013J,forumng,,,122
546909,AAA,2013J,resource,,,123
546685,AAA,2013J,oucontent,,,124
546960,AAA,2013J,resource,,,125
546721,AAA,2013J,oucontent,,,126
547006,AAA,2013J,resource,,,127
547047,AAA,2013J,dataplus,,,128
546651,AAA,2013J,forumng,,,129
546905,AAA,2013J,url,,,130
546952,AAA,2013J,resource,,,131
546716,AAA,2013J,oucontent,,,132
547003,AAA,2013J,resource,,,133
547040,AAA,2013J,resource,,,134
546648,AAA,2013J,forumng,,,135
546901,AAA,2013J,url,,,136
546682,AAA,2013J,oucontent,,,137
546947,AAA,2013J,resource,,,138
546713,AAA,2013J,oucontent,,,139
547000,AAA,2013J,resource,,,140
546889,AAA,2013J,url,,,141
547036,AAA,2013J,resource,,,142
546644,AAA,2013J,forumng,,,143
546898,AAA,2013J,url,,,144
546679,AAA,2013J,oucontent,,,145
546935,AAA,2013J,resource,,,146
546709,AAA,2013J,oucontent,,,147
546996,AAA,2013J,resource,,,148
546885,AAA,2013J,url,,,149
547032,AAA,2013J,resource,,,150
546894,AAA,2013J,url,,,151
546676,AAA,2013J,oucontent,,,152
546928,AAA,2013J,resource,,,153
546706,AAA,2013J,oucontent,,,154
546992,AAA,2013J,resource,,,155
546879,AAA,2013J,subpage,,,156
547028,AAA,2013J,resource,,,157
546672,AAA,2013J,oucontent,,,158
546924,AAA,2013J,resource,,,159
546703,AAA,2013J,oucontent,,,160
546989,AAA,2013J,resource,,,161
546873,AAA,2013J,subpage,,,162
547025,AAA,2013J,resource,,,163
546669,AAA,2013J,oucontent,,,164
546921,AAA,2013J,resource,,,165
546700,AAA,2013J,oucontent,,,166
546986,AAA,2013J,resource,,,167
546740,AAA,2013J,oucontent,,,168
547022,AAA,2013J,resource,,,169
546666,AAA,2013J,oucontent,,,170
546918,AAA,2013J,resource,,,171
546696,AAA,2013J,oucontent,,,172
546983,AAA,2013J,resource,,,173
546737,AAA,2013J,oucontent,,,174
547019,AAA,2013J,resource,,,175
546662,AAA,2013J,oucontent,,,176
546693,AAA,2013J,oucontent,,,177
546974,AAA,2013J,resource,,,178
546734,AAA,2013J,oucontent,,,179
547015,AAA,2013J,resource,,,180
546659,AAA,2013J,forumng,,,181
546915,AAA,2013J,resource,,,182
546690,AAA,2013J,oucontent,,,183
546970,AAA,2013J,resource,,,184
546731,AAA,2013J,oucontent,,,185
547012,AAA,2013J,resource,,,186
547067,AAA,2013J,oucollaborate,,,187
546656,AAA,2013J,forumng,,,188
546911,AAA,2013J,resource,,,189
546687,AAA,2013J,oucontent,,,190
546965,AAA,2013J,resource,,,191
546725,AAA,2013J,oucontent,,,192
547008,AAA,2013J,resource,,,193
547049,AAA,2013J,dataplus,,,194
546653,AAA,2013J,forumng,,,195
546907,AAA,2013J,resource,,,196
546955,AAA,2013J,resource,,,197
546719,AAA,2013J,oucontent,1.0,1.0,198
547005,AAA,2013J,resource,,,199
547043,AAA,2013J,resource,,,200
546650,AAA,2013J,forumng,,,201
546904,AAA,2013J,url,,,202
546684,AAA,2013J,oucontent,,,203
546949,AAA,2013J,resource,,,204
546715,AAA,2013J,oucontent,,,205
547002,AAA,2013J,resource,,,206
547038,AAA,2013J,resource,,,207
546647,AAA,2013J,forumng,,,208
546900,AAA,2013J,url,,,209
546681,AAA,2013J,oucontent,1.0,1.0,210
877162,AAA,2014J,resource,,,211
877223,AAA,2014J,resource,,,212
877032,AAA,2014J,oucontent,,,213
877263,AAA,2014J,resource,,,214
877064,AAA,2014J,oucontent,,,215
877098,AAA,2014J,oucontent,,,216
877157,AAA,2014J,resource,,,217
877220,AAA,2014J,resource,,,218
877029,AAA,2014J,glossary,,,219
877260,AAA,2014J,resource,,,220
877061,AAA,2014J,oucontent,,,221
1032910,AAA,2014J,url,,,222
877094,AAA,2014J,oucontent,,,223
877154,AAA,2014J,resource,,,224
877217,AAA,2014J,resource,,,225
877025,AAA,2014J,forumng,,,226
877256,AAA,2014J,resource,,,227
877058,AAA,2014J,oucontent,,,228
877423,AAA,2014J,dataplus,,,229
877091,AAA,2014J,oucontent,,,230
877151,AAA,2014J,resource,,,231
877214,AAA,2014J,resource,,,232
877012,AAA,2014J,forumng,,,233
877253,AAA,2014J,resource,,,234
877055,AAA,2014J,oucontent,,,235
877420,AAA,2014J,dataplus,,,236
877088,AAA,2014J,oucontent,,,237
877148,AAA,2014J,resource,,,238
877211,AAA,2014J,resource,,,239
877247,AAA,2014J,resource,,,240
877052,AAA,2014J,oucontent,,,241
877402,AAA,2014J,url,,,242
877085,AAA,2014J,oucontent,,,243
877145,AAA,2014J,resource,,,244
877208,AAA,2014J,resource,,,245
877244,AAA,2014J,resource,,,246
877049,AAA,2014J,oucontent,,,247
877397,AAA,2014J,url,,,248
877081,AAA,2014J,oucontent,,,249
877142,AAA,2014J,resource,,,250
877203,AAA,2014J,resource,,,251
877241,AAA,2014J,resource,,,252
877046,AAA,2014J,oucontent,,,253
877394,AAA,2014J,url,,,254
877078,AAA,2014J,oucontent,,,255
877197,AAA,2014J,resource,,,256
877237,AAA,2014J,resource,,,257
877043,AAA,2014J,oucontent,,,258
877387,AAA,2014J,url,,,259
877075,AAA,2014J,oucontent,,,260
877139,AAA,2014J,resource,,,261
877190,AAA,2014J,resource,,,262
877233,AAA,2014J,resource,,,263
877040,AAA,2014J,oucontent,2.0,2.0,264
877384,AAA,2014J,url,,,265
877072,AAA,2014J,oucontent,,,266
877135,AAA,2014J,subpage,,,267
877184,AAA,2014J,resource,,,268
877229,AAA,2014J,resource,,,269
877037,AAA,2014J,oucontent,,,270
877380,AAA,2014J,oucollaborate,,,271
877069,AAA,2014J,oucontent,,,272
877132,AAA,2014J,subpage,,,273
877172,AAA,2014J,resource,,,274
877225,AAA,2014J,resource,,,275
877034,AAA,2014J,oucontent,,,276
877265,AAA,2014J,resource,,,277
877066,AAA,2014J,oucontent,,,278
877100,AAA,2014J,oucontent,,,279
877159,AAA,2014J,resource,,,280
877222,AAA,2014J,resource,,,281
877031,AAA,2014J,oucontent,,,282
877262,AAA,2014J,resource,,,283
877063,AAA,2014J,oucontent,,,284
1072237,AAA,2014J,url,,,285
877096,AAA,2014J,oucontent,,,286
877156,AAA,2014J,resource,,,287
877219,AAA,2014J,resource,,,288
877028,AAA,2014J,glossary,,,289
877259,AAA,2014J,resource,,,290
877060,AAA,2014J,oucontent,,,291
1027118,AAA,2014J,url,,,292
877093,AAA,2014J,oucontent,,,293
877153,AAA,2014J,resource,,,294
877216,AAA,2014J,resource,,,295
877023,AAA,2014J,forumng,,,296
877255,AAA,2014J,resource,,,297
877057,AAA,2014J,oucontent,,,298
877422,AAA,2014J,dataplus,,,299
877090,AAA,2014J,oucontent,,,300
877150,AAA,2014J,resource,,,301
877213,AAA,2014J,resource,,,302
877011,AAA,2014J,forumng,,,303
877252,AAA,2014J,resource,,,304
877054,AAA,2014J,oucontent,,,305
877404,AAA,2014J,url,,,306
877087,AAA,2014J,oucontent,,,307
877147,AAA,2014J,resource,,,308
877210,AAA,2014J,resource,,,309
877246,AAA,2014J,resource,,,310
877051,AAA,2014J,oucontent,,,311
877399,AAA,2014J,url,,,312
877084,AAA,2014J,oucontent,,,313
877144,AAA,2014J,resource,,,314
877207,AAA,2014J,resource,,,315
877243,AAA,2014J,resource,,,316
877048,AAA,2014J,oucontent,,,317
877396,AAA,2014J,url,,,318
877080,AAA,2014J,oucontent,,,319
877141,AAA,2014J,resource,,,320
877199,AAA,2014J,resource,,,321
877240,AAA,2014J,resource,,,322
877045,AAA,2014J,oucontent,1.0,1.0,323
877393,AAA,2014J,url,,,324
877077,AAA,2014J,oucontent,,,325
877196,AAA,2014J,resource,,,326
877236,AAA,2014J,resource,,,327
877042,AAA,2014J,oucontent,,,328
877386,AAA,2014J,url,,,329
877074,AAA,2014J,oucontent,,,330
877138,AAA,2014J,resource,,,331
877187,AAA,2014J,resource,,,332
877231,AAA,2014J,resource,,,333
877039,AAA,2014J,oucontent,,,334
877383,AAA,2014J,url,,,335
877071,AAA,2014J,oucontent,,,336
877134,AAA,2014J,subpage,,,337
877182,AAA,2014J,resource,,,338
877228,AAA,2014J,resource,,,339
877036,AAA,2014J,oucontent,,,340
877379,AAA,2014J,oucollaborate,,,341
877068,AAA,2014J,oucontent,,,342
877129,AAA,2014J,subpage,,,343
877168,AAA,2014J,resource,,,344
877224,AAA,2014J,resource,,,345
877033,AAA,2014J,oucontent,,,346
877264,AAA,2014J,resource,,,347
877065,AAA,2014J,oucontent,,,348
877099,AAA,2014J,oucontent,,,349
877158,AAA,2014J,resource,,,350
877221,AAA,2014J,resource,,,351
877030,AAA,2014J,homepage,,,352
877261,AAA,2014J,resource,,,353
877062,AAA,2014J,oucontent,,,354
1072236,AAA,2014J,resource,,,355
877095,AAA,2014J,oucontent,,,356
877155,AAA,2014J,resource,,,357
877218,AAA,2014J,resource,,,358
877026,AAA,2014J,forumng,,,359
877258,AAA,2014J,resource,,,360
877059,AAA,2014J,oucontent,,,361
1010323,AAA,2014J,resource,,,362
877092,AAA,2014J,oucontent,,,363
877152,AAA,2014J,resource,,,364
877215,AAA,2014J,resource,,,365
877015,AAA,2014J,forumng,,,366
877254,AAA,2014J,resource,,,367
877056,AAA,2014J,oucontent,,,368
877421,AAA,2014J,dataplus,,,369
877089,AAA,2014J,oucontent,,,370
877149,AAA,2014J,resource,,,371
877212,AAA,2014J,resource,,,372
877248,AAA,2014J,resource,,,373
877053,AAA,2014J,oucontent,,,374
877403,AAA,2014J,url,,,375
877086,AAA,2014J,oucontent,,,376
877146,AAA,2014J,resource,,,377
877209,AAA,2014J,resource,,,378
877245,AAA,2014J,resource,,,379
877050,AAA,2014J,oucontent,,,380
877398,AAA,2014J,url,,,381
877082,AAA,2014J,oucontent,,,382
877143,AAA,2014J,resource,,,383
877206,AAA,2014J,resource,,,384
877242,AAA,2014J,resource,,,385
877047,AAA,2014J,oucontent,,,386
877395,AAA,2014J,url,,,387
877079,AAA,2014J,oucontent,,,388
877198,AAA,2014J,resource,,,389
877238,AAA,2014J,resource,,,390
877044,AAA,2014J,oucontent,1.0,1.0,391
877392,AAA,2014J,url,,,392
877076,AAA,2014J,oucontent,,,393
877140,AAA,2014J,resource,,,394
877195,AAA,2014J,resource,,,395
877234,AAA,2014J,resource,,,396
877041,AAA,2014J,oucontent,,,397
877385,AAA,2014J,url,,,398
877073,AAA,2014J,oucontent,,,399
877137,AAA,2014J,resource,,,400
877186,AAA,2014J,resource,,,401
877230,AAA,2014J,resource,,,402
877038,AAA,2014J,oucontent,,,403
877381,AAA,2014J,url,,,404
877070,AAA,2014J,oucontent,,,405
877133,AAA,2014J,subpage,,,406
877180,AAA,2014J,resource,,,407
877227,AAA,2014J,resource,,,408
877035,AAA,2014J,oucontent,,,409
877266,AAA,2014J,resource,,,410
877067,AAA,2014J,oucontent,,,411
877128,AAA,2014J,subpage,,,412
543306,BBB,2013B,resource,,,413
542803,BBB,2013B,forumng,,,414
543170,BBB,2013B,resource,,,415
543040,BBB,2013B,subpage,,,416
543202,BBB,2013B,resource,,,417
543074,BBB,2013B,subpage,,,418
543236,BBB,2013B,resource,,,419
543106,BBB,2013B,resource,,,420
543274,BBB,2013B,resource,,,421
543138,BBB,2013B,resource,,,422
542799,BBB,2013B,forumng,,,423
543167,BBB,2013B,resource,,,424
543037,BBB,2013B,url,,,425
543199,BBB,2013B,resource,,,426
543071,BBB,2013B,subpage,,,427
543233,BBB,2013B,resource,,,428
543103,BBB,2013B,resource,,,429
543271,BBB,2013B,resource,,,430
543135,BBB,2013B,resource,,,431
543303,BBB,2013B,resource,,,432
542796,BBB,2013B,forumng,,,433
543164,BBB,2013B,resource,,,434
543031,BBB,2013B,url,,,435
543196,BBB,2013B,resource,,,436
543067,BBB,2013B,subpage,,,437
543230,BBB,2013B,resource,,,438
543100,BBB,2013B,resource,,,439
543268,BBB,2013B,resource,,,440
543132,BBB,2013B,resource,,,441
543300,BBB,2013B,resource,,,442
542792,BBB,2013B,forumng,,,443
543161,BBB,2013B,resource,,,444
543027,BBB,2013B,url,,,445
543193,BBB,2013B,resource,,,446
543063,BBB,2013B,subpage,,,447
543227,BBB,2013B,resource,,,448
543097,BBB,2013B,resource,,,449
543259,BBB,2013B,resource,,,450
543265,BBB,2013B,resource,,,451
543129,BBB,2013B,resource,,,452
543297,BBB,2013B,resource,,,453
543158,BBB,2013B,resource,,,454
543024,BBB,2013B,url,,,455
543190,BBB,2013B,resource,,,456
543060,BBB,2013B,subpage,,,457
543224,BBB,2013B,resource,,,458
543094,BBB,2013B,resource,,,459
543256,BBB,2013B,resource,,,460
543262,BBB,2013B,resource,,,461
543126,BBB,2013B,resource,,,462
543294,BBB,2013B,resource,,,463
543155,BBB,2013B,resource,,,464
543021,BBB,2013B,url,,,465
543187,BBB,2013B,resource,,,466
543057,BBB,2013B,subpage,,,467
543221,BBB,2013B,resource,,,468
543091,BBB,2013B,resource,,,469
543253,BBB,2013B,resource,,,470
543123,BBB,2013B,resource,,,471
543291,BBB,2013B,resource,,,472
543152,BBB,2013B,resource,,,473
542894,BBB,2013B,quiz,,,474
543184,BBB,2013B,resource,,,475
543054,BBB,2013B,subpage,,,476
543217,BBB,2013B,resource,,,477
543088,BBB,2013B,resource,,,478
543250,BBB,2013B,resource,,,479
543120,BBB,2013B,resource,,,480
543288,BBB,2013B,resource,,,481
543324,BBB,2013B,ouelluminate,,,482
542891,BBB,2013B,quiz,,,483
543181,BBB,2013B,resource,,,484
543051,BBB,2013B,subpage,,,485
543213,BBB,2013B,resource,,,486
543085,BBB,2013B,resource,,,487
543247,BBB,2013B,resource,,,488
543117,BBB,2013B,resource,,,489
543285,BBB,2013B,resource,,,490
543149,BBB,2013B,resource,,,491
543314,BBB,2013B,resource,,,492
542812,BBB,2013B,glossary,,,493
543178,BBB,2013B,resource,,,494
543048,BBB,2013B,subpage,,,495
543210,BBB,2013B,resource,,,496
543082,BBB,2013B,resource,,,497
543244,BBB,2013B,resource,,,498
543114,BBB,2013B,resource,,,499
543282,BBB,2013B,resource,,,500
543146,BBB,2013B,resource,,,501
543311,BBB,2013B,resource,,,502
542808,BBB,2013B,forumng,,,503
543175,BBB,2013B,resource,,,504
543045,BBB,2013B,subpage,,,505
543207,BBB,2013B,resource,,,506
543079,BBB,2013B,resource,,,507
543241,BBB,2013B,resource,,,508
543111,BBB,2013B,resource,,,509
543279,BBB,2013B,resource,,,510
543143,BBB,2013B,resource,,,511
543308,BBB,2013B,resource,,,512
542805,BBB,2013B,forumng,,,513
543172,BBB,2013B,resource,,,514
543042,BBB,2013B,subpage,,,515
543204,BBB,2013B,resource,,,516
543076,BBB,2013B,subpage,,,517
543238,BBB,2013B,resource,,,518
543108,BBB,2013B,resource,,,519
543276,BBB,2013B,resource,,,520
543140,BBB,2013B,resource,,,521
542802,BBB,2013B,forumng,,,522
543169,BBB,2013B,resource,,,523
543039,BBB,2013B,subpage,,,524
543201,BBB,2013B,resource,,,525
543073,BBB,2013B,subpage,,,526
543235,BBB,2013B,resource,,,527
543105,BBB,2013B,resource,,,528
543273,BBB,2013B,resource,,,529
543137,BBB,2013B,resource,,,530
543305,BBB,2013B,resource,,,531
542798,BBB,2013B,forumng,,,532
543166,BBB,2013B,resource,,,533
543036,BBB,2013B,url,,,534
543198,BBB,2013B,resource,,,535
543069,BBB,2013B,subpage,,,536
543232,BBB,2013B,resource,,,537
543102,BBB,2013B,resource,,,538
543270,BBB,2013B,resource,,,539
543134,BBB,2013B,resource,,,540
543302,BBB,2013B,resource,,,541
542795,BBB,2013B,forumng,,,542
543163,BBB,2013B,resource,,,543
543029,BBB,2013B,url,,,544
543195,BBB,2013B,resource,,,545
543066,BBB,2013B,subpage,,,546
543229,BBB,2013B,resource,,,547
543099,BBB,2013B,resource,,,548
543261,BBB,2013B,resource,,,549
543267,BBB,2013B,resource,,,550
543131,BBB,2013B,resource,,,551
543299,BBB,2013B,resource,,,552
543160,BBB,2013B,resource,,,553
543026,BBB,2013B,url,,,554
543192,BBB,2013B,resource,,,555
543062,BBB,2013B,subpage,,,556
543226,BBB,2013B,resource,,,557
543096,BBB,2013B,resource,,,558
543258,BBB,2013B,resource,,,559
543264,BBB,2013B,resource,,,560
543128,BBB,2013B,resource,,,561
543296,BBB,2013B,resource,,,562
543157,BBB,2013B,resource,,,563
543023,BBB,2013B,url,,,564
543189,BBB,2013B,resource,,,565
543059,BBB,2013B,subpage,,,566
543223,BBB,2013B,resource,,,567
543093,BBB,2013B,resource,,,568
543255,BBB,2013B,resource,,,569
543125,BBB,2013B,resource,,,570
543293,BBB,2013B,resource,,,571
543154,BBB,2013B,resource,,,572
543020,BBB,2013B,url,,,573
543186,BBB,2013B,resource,,,574
543056,BBB,2013B,subpage,,,575
543220,BBB,2013B,resource,,,576
543090,BBB,2013B,resource,,,577
543252,BBB,2013B,resource,,,578
543122,BBB,2013B,resource,,,579
543290,BBB,2013B,resource,,,580
542893,BBB,2013B,quiz,,,581
543183,BBB,2013B,resource,,,582
543053,BBB,2013B,subpage,,,583
543215,BBB,2013B,resource,,,584
543087,BBB,2013B,resource,,,585
543249,BBB,2013B,resource,,,586
543119,BBB,2013B,resource,,,587
543287,BBB,2013B,resource,,,588
543151,BBB,2013B,resource,,,589
543322,BBB,2013B,sharedsubpage,,,590
542889,BBB,2013B,oucontent,,,591
543180,BBB,2013B,resource,,,592
543050,BBB,2013B,subpage,,,593
543212,BBB,2013B,resource,,,594
543084,BBB,2013B,resource,,,595
543246,BBB,2013B,resource,,,596
543116,BBB,2013B,resource,,,597
543284,BBB,2013B,resource,,,598
543148,BBB,2013B,resource,,,599
543313,BBB,2013B,resource,,,600
542811,BBB,2013B,forumng,,,601
543177,BBB,2013B,resource,,,602
543047,BBB,2013B,subpage,,,603
543209,BBB,2013B,resource,,,604
543081,BBB,2013B,resource,,,605
543243,BBB,2013B,resource,,,606
543113,BBB,2013B,resource,,,607
543281,BBB,2013B,resource,,,608
543145,BBB,2013B,resource,,,609
543310,BBB,2013B,resource,,,610
542807,BBB,2013B,forumng,,,611
543174,BBB,2013B,resource,,,612
543044,BBB,2013B,subpage,,,613
543206,BBB,2013B,resource,,,614
543078,BBB,2013B,resource,,,615
543240,BBB,2013B,resource,,,616
543110,BBB,2013B,resource,,,617
543278,BBB,2013B,resource,,,618
543142,BBB,2013B,resource,,,619
543307,BBB,2013B,resource,,,620
542804,BBB,2013B,forumng,,,621
543171,BBB,2013B,resource,,,622
543041,BBB,2013B,subpage,,,623
543203,BBB,2013B,resource,,,624
543075,BBB,2013B,subpage,,,625
543237,BBB,2013B,resource,,,626
543107,BBB,2013B,resource,,,627
543275,BBB,2013B,resource,,,628
543139,BBB,2013B,resource,,,629
542800,BBB,2013B,forumng,,,630
543168,BBB,2013B,resource,,,631
543038,BBB,2013B,url,,,632
543200,BBB,2013B,resource,,,633
543072,BBB,2013B,subpage,,,634
543234,BBB,2013B,resource,,,635
543104,BBB,2013B,resource,,,636
543272,BBB,2013B,resource,,,637
543136,BBB,2013B,resource,,,638
543304,BBB,2013B,resource,,,639
542797,BBB,2013B,forumng,,,640
543165,BBB,2013B,resource,,,641
543032,BBB,2013B,url,,,642
543197,BBB,2013B,resource,,,643
543068,BBB,2013B,subpage,,,644
543231,BBB,2013B,resource,,,645
543101,BBB,2013B,resource,,,646
543269,BBB,2013B,resource,,,647
543133,BBB,2013B,resource,,,648
543301,BBB,2013B,resource,,,649
542794,BBB,2013B,forumng,,,650
543162,BBB,2013B,resource,,,651
543028,BBB,2013B,url,,,652
543194,BBB,2013B,resource,,,653
543065,BBB,2013B,subpage,,,654
543228,BBB,2013B,resource,,,655
543098,BBB,2013B,resource,,,656
543260,BBB,2013B,resource,,,657
543266,BBB,2013B,resource,,,658
543130,BBB,2013B,resource,,,659
543298,BBB,2013B,resource,,,660
543159,BBB,2013B,resource,,,661
543025,BBB,2013B,url,,,662
543191,BBB,2013B,resource,,,663
543061,BBB,2013B,subpage,,,664
543225,BBB,2013B,resource,,,665
543095,BBB,2013B,resource,,,666
543257,BBB,2013B,resource,,,667
543263,BBB,2013B,resource,,,668
543127,BBB,2013B,resource,,,669
543295,BBB,2013B,resource,,,670
543156,BBB,2013B,resource,,,671
543022,BBB,2013B,url,,,672
543188,BBB,2013B,resource,,,673
543058,BBB,2013B,subpage,,,674
543222,BBB,2013B,resource,,,675
543092,BBB,2013B,resource,,,676
543254,BBB,2013B,resource,,,677
543124,BBB,2013B,resource,,,678
543292,BBB,2013B,resource,,,679
543153,BBB,2013B,resource,,,680
542895,BBB,2013B,quiz,,,681
543185,BBB,2013B,resource,,,682
543055,BBB,2013B,subpage,,,683
543218,BBB,2013B,resource,,,684
543089,BBB,2013B,resource,,,685
543251,BBB,2013B,resource,,,686
543121,BBB,2013B,resource,,,687
543289,BBB,2013B,resource,,,688
542892,BBB,2013B,quiz,,,689
543182,BBB,2013B,resource,,,690
543052,BBB,2013B,subpage,,,691
543214,BBB,2013B,resource,,,692
543086,BBB,2013B,resource,,,693
543248,BBB,2013B,resource,,,694
543118,BBB,2013B,resource,,,695
543286,BBB,2013B,resource,,,696
543150,BBB,2013B,resource,,,697
543315,BBB,2013B,resource,,,698
542864,BBB,2013B,homepage,,,699
543179,BBB,2013B,resource,,,700
543049,BBB,2013B,subpage,,,701
543211,BBB,2013B,resource,,,702
543083,BBB,2013B,resource,,,703
543245,BBB,2013B,resource,,,704
543115,BBB,2013B,resource,,,705
543283,BBB,2013B,resource,,,706
543147,BBB,2013B,resource,,,707
543312,BBB,2013B,resource,,,708
542810,BBB,2013B,forumng,,,709
543176,BBB,2013B,resource,,,710
543046,BBB,2013B,subpage,,,711
543208,BBB,2013B,resource,,,712
543080,BBB,2013B,resource,,,713
543242,BBB,2013B,resource,,,714
543112,BBB,2013B,resource,,,715
543280,BBB,2013B,resource,,,716
543144,BBB,2013B,resource,,,717
543309,BBB,2013B,resource,,,718
542806,BBB,2013B,forumng,,,719
543173,BBB,2013B,resource,,,720
543043,BBB,2013B,subpage,,,721
543205,BBB,2013B,resource,,,722
543077,BBB,2013B,subpage,,,723
543239,BBB,2013B,resource,,,724
543109,BBB,2013B,resource,,,725
543277,BBB,2013B,resource,,,726
543141,BBB,2013B,resource,,,727
703732,BBB,2013J,forumng,,,728
704084,BBB,2013J,resource,9.0,9.0,729
703951,BBB,2013J,subpage,11.0,11.0,730
704116,BBB,2013J,resource,22.0,22.0,731
703986,BBB,2013J,resource,,,732
704148,BBB,2013J,resource,,,733
704018,BBB,2013J,resource,,,734
704180,BBB,2013J,resource,,,735
704050,BBB,2013J,resource,,,736
704212,BBB,2013J,resource,,,737
704081,BBB,2013J,resource,6.0,6.0,738
703948,BBB,2013J,subpage,8.0,8.0,739
704113,BBB,2013J,resource,19.0,19.0,740
703983,BBB,2013J,resource,,,741
704145,BBB,2013J,resource,,,742
704015,BBB,2013J,resource,,,743
704177,BBB,2013J,resource,,,744
704047,BBB,2013J,resource,,,745
704209,BBB,2013J,resource,,,746
703729,BBB,2013J,forumng,,,747
704078,BBB,2013J,resource,4.0,4.0,748
