id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,node_idx
134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,43
135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,44
135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,45
137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,46
141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,47
141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,48
142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,49
144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,50
145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,51
146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,52
147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,53
147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,54
148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,55
151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,56
155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,57
155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,58
155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,59
157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,60
159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,61
164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,62
167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,63
168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,64
172112,M,Ireland,HE Qualification,,35-55,0,60,N,65
172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,66
174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,67
175392,M,North Region,HE Qualification,,35-55,0,60,N,68
175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,69
175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,70
180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,71
181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,72
183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,73
183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,74
184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,75
185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,76
186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,77
187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,78
188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,79
189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,80
192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,81
195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,82
200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,83
202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,84
205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,85
205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,86
227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,87
227517,M,Ireland,HE Qualification,,0-35,0,180,N,88
228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,89
228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,90
229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,91
229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,92
231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,93
235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,94
236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,95
238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,96
240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,97
240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,98
241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,99
241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,100
242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,101
246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,102
248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,103
255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,104
256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,105
258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,106
258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,107
260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,108
262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,109
262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,110
268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,111
268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,112
271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,113
277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,114
279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,115
281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,116
281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,117
281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,118
282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,119
286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,120
287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,121
290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,122
290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,123
291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,124
292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,125
293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,126
294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,127
294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,128
295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,129
296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,130
298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,131
300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,132
302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,133
305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,134
305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,135
305539,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,136
306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,137
306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,138
306897,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,139
307061,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,140
307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,141
311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,142
312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,143
312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,144
318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,145
319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,146
321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,147
324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,148
324084,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,149
324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,150
331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,151
332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,152
333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,153
333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,154
334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,155
334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,156
335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,157
336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,158
339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,159
341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,160
342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,161
342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,162
342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,163
343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,164
344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,165
345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,166
345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,167
346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,168
346843,F,Scotland,HE Qualification,50-60%,35-55,0,120,N,169
350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,170
354858,M,South Region,HE Qualification,90-100%,35-55,0,120,N,171
357668,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,172
364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,173
365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,174
365642,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,175
366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,176
368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,177
368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,178
368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,179
376439,M,North Region,HE Qualification,,0-35,0,60,N,180
376581,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,181
380953,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,182
383254,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,183
386924,M,Ireland,Lower Than A Level,,0-35,0,120,N,184
386952,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,185
388722,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,186
388885,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,187
390890,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,188
392756,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,189
392931,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,190
393207,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,191
396872,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,192
398552,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,193
401869,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,194
402470,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,195
404804,M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,196
405088,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,197
405961,M,Scotland,A Level or Equivalent,90-100%,0-35,0,240,Y,198
414117,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,199
415969,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,200
420087,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,201
429958,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,202
441018,F,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,203
441888,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,204
442442,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,205
444677,M,London Region,HE Qualification,30-40%,0-35,0,60,N,206
470588,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,207
489455,F,South West Region,A Level or Equivalent,20-30%,0-35,0,60,N,208
494424,F,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,209
495284,M,South East Region,HE Qualification,80-90%,0-35,0,120,N,210
498857,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,211
508818,M,London Region,A Level or Equivalent,40-50%,0-35,0,120,N,212
512460,M,South East Region,HE Qualification,90-100%,0-35,0,120,N,213
544103,M,North Western Region,HE Qualification,40-50%,0-35,0,120,N,214
550383,M,South East Region,HE Qualification,60-70%,0-35,0,60,N,215
564450,M,West Midlands Region,HE Qualification,80-90%,0-35,0,120,N,216
568601,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,217
572652,M,West Midlands Region,HE Qualification,70-80%,0-35,0,120,N,218
580389,M,Ireland,HE Qualification,90-100%,0-35,0,120,N,219
581129,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,120,N,220
588775,M,South West Region,A Level or Equivalent,90-100%,0-35,0,120,N,221
591774,M,South Region,Post Graduate Qualification,90-100%,35-55,0,60,N,222
603861,M,North Region,HE Qualification,,55<=,0,60,N,223
606143,M,Scotland,Post Graduate Qualification,90-100%,35-55,0,60,N,224
704156,M,South Region,HE Qualification,90-100%,55<=,0,120,N,225
705379,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,120,N,226
721259,F,South Region,Lower Than A Level,50-60%,55<=,0,120,N,227
749412,M,South Region,Lower Than A Level,70-80%,55<=,0,60,N,228
760729,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,0,60,N,229
905042,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,230
949618,F,South West Region,A Level or Equivalent,50-60%,35-55,0,60,N,231
958987,M,North Western Region,HE Qualification,40-50%,35-55,0,60,N,232
968578,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,0,60,N,233
969076,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,N,234
971027,F,West Midlands Region,HE Qualification,90-100%,35-55,0,60,N,235
978739,M,South Region,HE Qualification,90-100%,35-55,0,60,N,236
1035023,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,237
1105478,M,Scotland,HE Qualification,80-90%,55<=,0,60,N,238
1352868,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,N,239
1401935,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,0,60,N,240
1402638,F,East Midlands Region,HE Qualification,30-40%,35-55,0,60,N,241
1414443,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,0,120,N,242
1456619,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,243
1465690,M,West Midlands Region,HE Qualification,40-50%,35-55,0,120,N,244
1472925,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,60,Y,245
1488959,M,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,246
1518989,F,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,247
1618738,M,London Region,Lower Than A Level,90-100%,35-55,0,60,N,248
1620151,M,South Region,HE Qualification,90-100%,35-55,0,60,N,249
1626710,M,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,250
1640609,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,251
1686521,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,252
1729319,F,Scotland,HE Qualification,40-50%,35-55,0,60,N,253
1746134,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,254
1758449,M,South Region,Lower Than A Level,30-40%,35-55,0,75,N,255
1763015,F,Scotland,A Level or Equivalent,10-20,35-55,0,60,N,256
1765788,M,South East Region,HE Qualification,70-80%,55<=,0,60,N,257
1801229,M,Ireland,HE Qualification,,35-55,0,60,N,258
1801641,M,Scotland,A Level or Equivalent,30-40%,35-55,0,60,N,259
1847830,M,South West Region,Lower Than A Level,40-50%,35-55,0,60,N,260
1860318,M,South West Region,Lower Than A Level,40-50%,35-55,0,300,Y,261
1889511,M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,0,60,N,262
1889577,F,South Region,A Level or Equivalent,70-80%,35-55,0,60,Y,263
1894188,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,264
1938355,M,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,265
1942396,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,Y,266
1970390,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,267
1976139,M,Ireland,Lower Than A Level,50-60%,35-55,0,120,N,268
2011876,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,60,Y,269
2012966,M,North Western Region,Lower Than A Level,30-40%,35-55,0,60,N,270
2051699,F,South West Region,Lower Than A Level,70-80%,35-55,0,60,N,271
2062879,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,60,N,272
2065691,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,Y,273
2073016,F,London Region,Lower Than A Level,30-40%,35-55,0,60,N,274
2080474,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,275
2083877,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,276
2084066,F,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,277
2104505,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,N,278
2122180,F,North Western Region,Lower Than A Level,80-90%,35-55,0,60,N,279
2139353,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,N,280
2143752,F,South Region,Lower Than A Level,70-80%,35-55,0,60,N,281
2146792,M,North Western Region,HE Qualification,20-30%,55<=,0,60,N,282
2149225,M,Scotland,A Level or Equivalent,70-80%,35-55,0,60,Y,283
2153153,F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,0,60,N,284
2155014,F,West Midlands Region,Lower Than A Level,80-90%,0-35,0,60,Y,285
2164705,F,North Western Region,A Level or Equivalent,40-50%,0-35,0,120,N,286
2171627,F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,0,60,N,287
2182846,F,London Region,A Level or Equivalent,70-80%,35-55,0,60,N,288
2194100,F,East Anglian Region,A Level or Equivalent,50-60%,35-55,0,60,N,289
2197016,F,North Western Region,HE Qualification,30-40%,35-55,0,60,N,290
2208424,M,Scotland,A Level or Equivalent,20-30%,0-35,0,60,N,291
2229865,F,West Midlands Region,A Level or Equivalent,10-20,35-55,0,60,N,292
2255601,F,South Region,A Level or Equivalent,80-90%,35-55,0,120,N,293
2268379,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,294
2278464,M,South Region,Lower Than A Level,30-40%,35-55,0,60,N,295
2293923,M,South Region,A Level or Equivalent,90-100%,0-35,0,150,N,296
2312620,F,East Midlands Region,HE Qualification,20-30%,35-55,0,60,N,297
2318055,M,Wales,A Level or Equivalent,90-100%,35-55,0,60,N,298
2324976,F,Scotland,HE Qualification,90-100%,35-55,0,60,N,299
2329342,F,East Anglian Region,Lower Than A Level,40-50%,35-55,0,120,N,300
2339528,F,London Region,Lower Than A Level,40-50%,0-35,0,60,N,301
2342426,M,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,60,N,302
2344901,F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,0,60,N,303
2358056,F,North Region,HE Qualification,,0-35,0,60,N,304
2358969,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,180,N,305
2364471,F,Scotland,HE Qualification,90-100%,0-35,0,60,Y,306
2365101,M,South East Region,HE Qualification,20-30%,0-35,0,300,N,307
2367155,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,120,N,308
2369266,F,London Region,Lower Than A Level,70-80%,35-55,0,60,N,309
2376496,F,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,120,N,310
2391984,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,311
2411661,F,South Region,A Level or Equivalent,80-90%,0-35,0,120,N,312
2411778,M,Scotland,HE Qualification,20-30%,0-35,0,120,N,313
2412002,M,South West Region,Lower Than A Level,50-60%,35-55,0,90,N,314
2412967,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,315
2429854,M,London Region,A Level or Equivalent,10-20,35-55,0,120,Y,316
2437837,F,North Region,A Level or Equivalent,30-40%,0-35,0,60,N,317
2449878,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,318
2456480,M,Scotland,Lower Than A Level,80-90%,35-55,0,120,N,319
2457256,M,South Region,Lower Than A Level,80-90%,35-55,0,180,N,320
2458355,M,London Region,Lower Than A Level,80-90%,35-55,0,60,N,321
2460080,M,Scotland,HE Qualification,90-100%,55<=,0,60,N,322
2461190,M,South Region,HE Qualification,70-80%,55<=,0,60,N,323
2469673,F,Yorkshire Region,Lower Than A Level,20-30%,35-55,0,60,N,324
2470694,F,Scotland,HE Qualification,50-60%,55<=,0,60,N,325
2479954,M,North Western Region,A Level or Equivalent,40-50%,0-35,0,60,N,326
2481901,M,Wales,Lower Than A Level,80-90%,35-55,0,60,N,327
2482700,M,South Region,Lower Than A Level,90-100%,0-35,0,120,N,328
2486127,F,East Anglian Region,HE Qualification,90-100%,0-35,0,120,N,329
2498700,F,North Western Region,Lower Than A Level,40-50%,0-35,0,240,N,330
2516503,M,South East Region,HE Qualification,40-50%,35-55,0,60,N,331
2518069,M,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,332
2521459,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,333
2523736,M,North Western Region,A Level or Equivalent,20-30%,55<=,0,120,N,334
2529279,F,North Western Region,HE Qualification,60-70%,35-55,0,60,N,335
2532302,F,East Anglian Region,A Level or Equivalent,80-90%,0-35,0,60,N,336
2536991,M,South Region,HE Qualification,90-100%,55<=,0,60,N,337
2542724,F,West Midlands Region,Lower Than A Level,40-50%,0-35,0,60,N,338
2550279,F,North Region,HE Qualification,,35-55,0,60,N,339
2551220,F,South Region,Lower Than A Level,90-100%,0-35,0,60,N,340
2552472,F,South Region,HE Qualification,80-90%,35-55,0,120,N,341
2555340,F,South Region,HE Qualification,90-100%,35-55,0,60,N,342
2557283,M,Yorkshire Region,HE Qualification,80-90%,55<=,0,60,N,343
2559575,M,South West Region,Lower Than A Level,30-40%,0-35,0,60,N,344
2562034,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,345
2566163,F,South Region,A Level or Equivalent,80-90%,0-35,0,60,N,346
2566592,F,South Region,A Level or Equivalent,90-100%,35-55,0,60,N,347
2569324,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,348
2574528,M,Ireland,HE Qualification,,35-55,0,60,N,349
2574583,M,Yorkshire Region,Lower Than A Level,70-80%,35-55,0,60,N,350
2576122,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,351
2578995,F,West Midlands Region,A Level or Equivalent,10-20,0-35,0,60,Y,352
2586560,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,60,N,353
2594139,F,South West Region,A Level or Equivalent,50-60%,0-35,0,60,N,354
2598871,F,East Anglian Region,A Level or Equivalent,80-90%,35-55,0,60,N,355
2599352,F,Scotland,A Level or Equivalent,30-40%,0-35,0,120,N,356
2600688,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,357
2606098,F,East Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,358
2613116,F,London Region,Lower Than A Level,10-20,35-55,0,60,N,359
2617002,F,Yorkshire Region,A Level or Equivalent,80-90%,0-35,0,60,N,360
2620584,M,West Midlands Region,A Level or Equivalent,40-50%,0-35,0,60,Y,361
2639449,M,East Midlands Region,A Level or Equivalent,10-20,0-35,0,120,N,362
2639540,F,North Western Region,A Level or Equivalent,90-100%,35-55,0,60,N,363
2639641,M,South East Region,Lower Than A Level,30-40%,35-55,0,120,N,364
2641155,M,East Midlands Region,Lower Than A Level,50-60%,35-55,0,60,N,365
2643002,F,South West Region,A Level or Equivalent,80-90%,35-55,0,60,N,366
2645733,F,South West Region,A Level or Equivalent,40-50%,0-35,0,180,N,367
2649826,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,368
2650282,M,London Region,A Level or Equivalent,0-10%,35-55,0,60,N,369
2664024,M,South East Region,HE Qualification,90-100%,35-55,0,60,N,370
2666246,M,North Western Region,A Level or Equivalent,90-100%,0-35,0,60,N,371
2669816,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,60,N,372
